剧名,剧ID,总集数（含番外）,正剧集数,总价（元）,集均价（元）
《遇蛇》有声剧,68097,151,151,19.9,0.13
鬼知道我经历了什么,67842,21,18,29.9,1.66
以你为名的夏天 第一季,67704,12,12,19.9,1.66
以你为名的夏天 第二季,67704,12,12,19.9,1.66
地球上线 第一季,67628,15,15,19.9,1.33
地球上线 第二季,67628,17,17,31.9,1.88
地球上线 第三季,67628,14,13,25.9,1.99
地球上线 第四季,67628,17,17,35.9,2.11
他和她的猫 全一季,67514,11,11,13.5,1.23
着迷 全一季,67460,12,12,8.9,0.74
你再躲试试,67245,15,15,23.9,1.59
双向哄骗,67241,未知,未知,23.9,0
三伏 第一季,67153,21,16,23.9,1.49
三伏 第三季,67153,21,18,37.9,2.11
三伏 第二季,67153,18,15,27.9,1.86
坤宁 第一季,67136,20,20,20.9,1.04
坤宁 第二季,67136,23,23,32.9,1.43
